"","CK_1","CK_2","CK_3","Cd_1","Cd_2","Cd_3"
"Os01g0115800",133,223,130,164,138,133
"Os01g0275300",846,688,694,668,844,1165
"Os01g0825700",1953,1752,1700,1493,1578,1474
"Os01g0733200",465,491,673,425,789,655
"Os01g0921300",725,664,643,716,771,875
"Os01g0337700",347,316,293,329,476,552
"Os01g0848700",9,4,18,11,15,15
"Os01g0742100",621,647,533,652,666,753
"Os01g0763700",212,90,319,630,1018,983
"Os01g0128800",3052,3381,2629,2536,1765,1887
"Os01g0388200",84,106,127,215,244,156
"Os01g0330100",12,6,8,10,4,20
"Os01g0773700",15771,18644,20197,26136,38703,37500
"Os01g0314300",1688,1562,1156,1274,1098,1062
"Os01g0722100",270,273,190,336,327,356
"Os01g0546800",491,724,625,733,846,827
"Os01g0713900",73,45,61,41,36,45
"Os01g0708100",52,69,33,34,61,60
"Os01g0510701",123,120,90,158,96,79
"Os01g0126401",66,88,43,42,66,42
"Os01g0723400",3936,5139,3856,2779,2350,2084
"Os01g0185500",97,111,90,65,179,179
"Os01g0102900",25496,30286,35477,48118,72259,69828
"Os01g0323000",30,42,26,38,36,26
"Os01g0260100",136,79,106,162,97,54
"Os01g0739000",1576,1747,1279,1373,1133,1174
"Os01g0205500",24,19,15,18,13,15
"Os01g0822200",2073,1946,1285,1252,882,937
"Os01g0966100",2699,2896,2318,2034,2113,1917
"Os01g0518400",60,41,27,37,10,24
"Os01g0355800",74,112,84,103,59,64
"Os01g0917400",2468,2415,3672,4042,5088,4575
"Os01g0869800",4225,4891,5847,6543,9870,8557
"Os01g0559750",135,155,116,211,164,182
"Os01g0522100",91,336,188,82,17,1
"Os01g0351100",108,79,91,139,128,87
"Os01g0123900",1129,945,2654,2779,3380,4289
"Os01g0850550",1546,3331,1147,1323,401,165
"Os01g0147700",1406,1280,964,1373,1272,1417
"Os01g0546400",2,7,8,66,37,58
"Os01g0256400",328,436,368,439,486,413
"Os01g0170800",188,209,177,165,170,183
"Os01g0259933",351,303,258,673,505,194
"Os01g0316500",393,434,375,533,463,455
"Os01g0355900",2253,2221,1901,1966,2638,2411
"Os01g0201700",10,8,6,24,25,42
"Os01g0367700",938,1379,894,919,1260,1149
"Os01g0901000",114,112,131,119,142,133
"Os01g0748100",131,78,114,155,179,227
"Os01g0185900",121,178,116,60,33,26
"Os01g0908800",426,423,459,419,445,413
"Os01g0906200",1529,1831,1385,1466,1651,1837
"Os01g0176100",236,249,219,241,217,206
"Os01g0802200",66,30,44,52,24,50
