,CK_1,CK_2,CK_3,Cd_1,Cd_2,Cd_3
Os01g0815900,13,8,9,2,9,5
Os01g0691300,0,0,0,0,0,0
Os01g0104100,1904,1893,1524,1786,1771,1874
Os01g0278975,0,0,0,0,0,0
Os01g0631500,1,1,3,2,0,1
Os01g0837100,0,0,0,0,0,0
Os01g0279400,183,239,246,232,190,281
Os01g0745000,39,54,92,65,57,3
Os01g0637500,76,53,51,50,72,58
Os01g0235632,2,0,0,0,0,0
Os01g0933400,671,670,764,940,975,918
Os01g0933950,1,0,0,0,0,0
Os01g0605400,16,11,10,13,4,8
Os01g0209000,837,819,755,957,838,825
Os01g0596001,0,0,0,0,0,0
